LOR-Schlüssel (Bezirksregion),Bezeichnung (Bezirksregion),"Straftaten 
-insgesamt-",Raub,"Straßenraub,
Handtaschen-raub","Körper-verletzungen 
-insgesamt-",Gefährl. und schwere Körper-verletzung,"Freiheits-beraubung, Nötigung,
Bedrohung, Nachstellung","Diebstahl 
-insgesamt-",Diebstahl von Kraftwagen,"Diebstahl 
an/aus Kfz","Fahrrad-
diebstahl","Wohnraum-
einbruch","Branddelikte 
-insgesamt-","Brand-
stiftung",Sach-beschädigung -insgesamt-,Sach-beschädigung durch Graffiti,Rauschgift-delikte,Kieztaten
114011,Friedrichsfelde Süd,"7,393",38,19,785,94,268,"3,379",136,446,438,45,49,4,933,189,113,"1,778"
115012,Rummelsburger Bucht,"15,533",259,165,"1,271",447,494,"7,719",235,871,"1,765",518,118,24,"2,448",706,377,"4,542"
115013,Karlshorst,"5,307",14,7,452,43,221,"2,842",114,277,857,146,11,4,569,153,60,"1,096"
119900,"Bezirk (Lb), nicht zuzuordnen",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
120000,Reinickendorf,"9,536",83,43,994,243,441,"3,305",105,629,338,156,65,27,856,142,296,"2,243"
121001,Ost 1 - Reginhardstraße,"9,076",80,59,"1,075",320,452,"3,484",94,626,456,146,73,38,835,97,345,"3,014"
121002,Ost 2 - Alt-Reinickendorf,"11,591",72,40,"1,203",279,515,"4,465",130,"1,076",330,261,47,14,"1,171",268,446,"2,914"
122003,West 4 - Auguste-Viktoria-Allee,"10,482",114,40,"1,461",374,573,"4,068",51,723,327,224,81,33,962,206,202,"3,014"
122004,West 1 - Tegel-Süd/Flughafensee,"22,327",80,43,"1,320",356,804,"3,952",190,"1,025",374,135,68,43,"1,056",86,982,"3,112"
122005,West 5 - Tegel,"14,205",209,100,"1,548",373,519,"6,274",64,364,483,91,18,9,"1,047",228,264,"2,832"
124006,West 2 - Heiligensee/Konradshöhe,"3,951",29,12,390,82,238,"1,202",74,189,160,152,29,21,570,78,131,866
124007,Nord 1 - Frohnau/Hermsdorf,"4,522",42,27,356,81,215,"1,864",96,245,482,144,30,18,488,111,105,850
125008,West 3 - Borsigwalde/Freie Scholle,"6,672",18,6,656,152,279,"2,455",146,498,352,122,30,24,893,61,152,"1,568"
125009,Nord 2 - Waidmannslust/Wittenau/Lübars,"10,935",101,47,"1,048",234,376,"3,429",107,537,268,180,76,16,973,268,281,"2,081"
126010,Rollbergesiedlung,"7,912",76,0,875,151,378,"3,275",86,746,292,162,54,11,562,86,173,"2,086"
126011,MV Nord,"7,632",98,57,"1,154",288,503,"3,027",102,647,201,61,136,61,783,42,223,"2,444"
126012,MV Süd,"6,078",58,29,839,159,362,"1,599",80,557,181,101,109,22,695,22,246,"1,795"
129900,"Bezirk (Rd), nicht zuzuordnen",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
999900,"Stadtgebiet Berlin, nicht zuzuordnen",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
999999,Berlin (PKS gesamt),"13,399",116,68,"1,149",291,432,"5,288",117,747,733,188,73,28,"1,241",286,556,"2,806"
